feature,coefficient,feature_type
condemns,1.1547968041492862,word (tfidf)
conditions,0.7554654567039187,word (tfidf)
confederate,-1.0599996532760663,word (tfidf)
conference,-0.44116428239923644,word (tfidf)
confidence,0.06330687980171851,word (tfidf)
confirm,0.6820129093053974,word (tfidf)
confirms,1.9579399188610351,word (tfidf)
conflict,0.3584020869108351,word (tfidf)
confused,0.7826601732435694,word (tfidf)
congress,0.6529083803925306,word (tfidf)
congressional,-1.3736247549399465,word (tfidf)
congressman,-0.010433204904011706,word (tfidf)
connection,-0.08723141166240174,word (tfidf)
conscious,1.373859406479287,word (tfidf)
conservative,-1.1769790209702307,word (tfidf)
conservatives,-1.4497709468922761,word (tfidf)
consider,0.34593310298393226,word (tfidf)
considering,0.5914651702222342,word (tfidf)
conspiracy,-0.3705568386195471,word (tfidf)
constantly,1.5455028950819425,word (tfidf)
constitution,0.8077119847420735,word (tfidf)
consumer,0.20297667269878025,word (tfidf)
contact,1.298839099899181,word (tfidf)
content,0.10499560269811621,word (tfidf)
contest,1.1515706090846813,word (tfidf)
continue,0.01263308932527187,word (tfidf)
continues,-0.6101951084792494,word (tfidf)
contract,-0.02843421093245703,word (tfidf)
control,0.6650762703361199,word (tfidf)
controversial,0.11448451115610474,word (tfidf)
controversy,-2.0240436644680533,word (tfidf)
convention,0.6804632611711005,word (tfidf)
conversation,0.11343174683695358,word (tfidf)
cook,-0.7711013684556522,word (tfidf)
cooking,-0.8213629361293664,word (tfidf)
cool,1.291896168334112,word (tfidf)
cooper,0.6974662937101002,word (tfidf)
cop,-1.213640700401181,word (tfidf)
cops,-3.561815636670332,word (tfidf)
corden,-1.4132816175598149,word (tfidf)
corner,1.8768601827130933,word (tfidf)
corporate,-0.04354646533573891,word (tfidf)
corruption,0.704825513740156,word (tfidf)
cosby,-0.7384853995165409,word (tfidf)
cost,0.1737248443632281,word (tfidf)
costs,-0.4159234681863103,word (tfidf)
costume,0.7667053338393912,word (tfidf)
couch,0.38659278139219,word (tfidf)
council,1.1054727416869274,word (tfidf)
countries,-0.7965007784875132,word (tfidf)
country,1.008070359002442,word (tfidf)
couple,1.2698047124942247,word (tfidf)
couples,-0.42211629375047854,word (tfidf)
course,0.48286126405892527,word (tfidf)
court,-1.3459246239420506,word (tfidf)
cover,0.03571036140329195,word (tfidf)
coverage,0.6193157297399352,word (tfidf)
covered,2.4292060246299916,word (tfidf)
covers,0.09207871524906874,word (tfidf)
coworker,2.243166657563042,word (tfidf)
coworkers,1.614307616167375,word (tfidf)
crack,-0.1454926479379535,word (tfidf)
cracks,0.13868712403197228,word (tfidf)
crash,0.1958218565265179,word (tfidf)
crashes,-1.8844801600987073,word (tfidf)
crazy,-0.5344514542212774,word (tfidf)
cream,0.0073028221080253235,word (tfidf)
create,-0.30738452343310546,word (tfidf)
created,0.3200736457754675,word (tfidf)
creates,-0.6950127598863104,word (tfidf)
creating,-1.4301125322440222,word (tfidf)
creative,-0.42388004340172925,word (tfidf)
creator,-0.3191077187933926,word (tfidf)
credit,0.5740899656013584,word (tfidf)
creepy,0.11583610098111255,word (tfidf)
crew,-0.24695999740198754,word (tfidf)
crime,0.12455443945896977,word (tfidf)
crimes,-0.3028683527797943,word (tfidf)
criminal,-0.19110871829666268,word (tfidf)
crisis,-1.8460113253289316,word (tfidf)
criticism,-1.631712509163584,word (tfidf)
critics,0.2828119397831381,word (tfidf)
cross,0.49304455444230555,word (tfidf)
crowd,1.9786218803289897,word (tfidf)
cruise,1.4038429392919445,word (tfidf)
cruz,-0.08800494708607937,word (tfidf)
crying,0.35641056184621883,word (tfidf)
cuba,-1.9985714246166904,word (tfidf)
culture,-1.2468395246021495,word (tfidf)
cuomo,-0.7341005956726983,word (tfidf)
cup,0.616706045468554,word (tfidf)
current,1.017887031445278,word (tfidf)
